2	1.5139	1.5138	1.514
14.2	1.5029	1.5028	1.503
28.4	1.49855	1.4985	1.4986
29.6	1.49775	1.4976	1.4979
54.8	1.49515	1.4949	1.4954
82.4	1.4973	1.4977	1.4969
84.2	1.5039	1.504	1.5038
98	1.5001	1.5	1.5002
114	1.4944	1.4946	1.4942
220	1.50325	1.5034	1.5031
245.8	1.50645	1.5061	1.5068
272	1.50575	1.5058	1.5057
372.1	1.5178	1.5179	1.5177
430	1.51935	1.5197	1.519
506	1.5265	1.5269	1.5261
550.7	1.53355	1.5342	1.5329
614.4	1.54485	1.5446	1.5451
621.7	1.54595	1.5469	1.545
628.2	1.5437	1.5433	1.5441
635.6	1.5459	1.5457	1.5461
828.4	1.58465	1.5856	1.5837
905.6	1.6015	1.6016	1.6014
920.8	1.603	1.603	1.603
930.7	1.60275	1.6027	1.6028
985	1.61915	1.619	1.6193
1000	1.6274	1.6276	1.6272
3236	1.9145	1.9144	1.9146
3330	1.92035	1.9201	1.9206
9620	2.1788	2.179	2.1786
9940	2.18635	2.1864	2.1863
32450	2.33335	2.3333	2.3334
32950	2.3327	2.3324	2.333
223500	2.36555	2.3656	2.3655
918900	2.37005	2.3701	2.37
932200	2.37	2.3699	2.3701
