14.1	2.23955	2.2399	2.2392
28.1	2.24665	2.2432	2.2501
29.8	2.2486	2.2498	2.2474
55	2.2495	2.2496	2.2494
84.6	2.25415	2.2519	2.2564
98.2	2.25345	2.2537	2.2532
114.2	2.25645	2.2556	2.2573
220.3	2.2581	2.2588	2.2574
245.5	2.2606	2.2598	2.2614
272.7	2.26155	2.2611	2.262
312.3	2.26	2.2613	2.2587
371.4	2.263	2.2614	2.2646
429.7	2.26055	2.2602	2.2609
505.9	2.2634	2.2637	2.2631
550	2.2554	2.2551	2.2557
608	2.26165	2.2623	2.261
620.5	2.26555	2.265	2.2661
622.4	2.26175	2.2626	2.2609
636	2.26565	2.2661	2.2652
832.2	2.2628	2.262	2.2636
906.1	2.2619	2.2617	2.2621
921	2.2616	2.26	2.2632
930	2.26125	2.2614	2.2611
985	2.25515	2.2558	2.2545
1010	2.26295	2.2622	2.2637
3402	2.26075	2.261	2.2605
9289	2.25965	2.2598	2.2595
9960	2.2627	2.2621	2.2633
32237	2.25835	2.2582	2.2585
32460	2.2612	2.2613	2.2611
32960	2.2571	2.2566	2.2576
223500	2.26055	2.2624	2.2587
332100	2.2634	2.2632	2.2636
913800	2.26425	2.2642	2.2643
923800	2.2614	2.262	2.2608
