0,1,2.62,0,0,2.725
5,0.9253731343,2.63,0,0,2.727
10,0.8611111111,2.637,5,0.04761904762,2.7142
15,0.8051948052,2.64,5,0.04761904762,2.718
20,0.756097561,2.641,10,0.09090909091,2.7075
25,0.7126436782,2.643,15,0.1304347826,2.7
30,0.6739130435,2.6439,15,0.1304347826,2.7679
30,0.6739130435,2.6464,20,0.1666666667,2.6907
35,0.6391752577,2.6448,25,0.2,2.6855
35,0.6391752577,2.645,25,0.2,2.6848
40,0.6078431373,2.647,30,0.2307692308,2.681
40,0.6078431373,2.646,30,0.2307692308,2.6798
45,0.5794392523,2.6473,35,0.2592592593,2.6775
0,0,2.725,35,0.2592592593,2.6769
0,0,2.727,40,0.2857142857,2.6804
5,0.04761904762,2.7142,40,0.2857142857,2.679
5,0.04761904762,2.718,45,0.3103448276,2.6725
10,0.09090909091,2.7075,45,0.3103448276,2.6731
15,0.1304347826,2.7,50,0.3333333333,2.6765
15,0.1304347826,2.6979,50,0.3333333333,2.6701
20,0.1666666667,2.6907,55,0.3548387097,2.6655
25,0.2,2.6855,55,0.3548387097,2.6654
25,0.2,2.6848,60,0.375,2.6644
30,0.2307692308,2.681,65,0.3939393939,2.6597
30,0.2307692308,2.6798,70,0.4117647059,2.6595
35,0.2592592593,2.6775,70,0.4117647059,2.6587
35,0.2592592593,2.6769,75,0.4285714286,2.6657
40,0.2857142857,2.6804,75,0.4285714286,2.667
40,0.2857142857,2.679,75,0.4285714286,2.6661
45,0.3103448276,2.6725,80,0.4444444444,2.6543
45,0.3103448276,2.6731,80,0.4444444444,2.6549
50,0.3333333333,2.6765,85,0.4594594595,2.6535
50,0.3333333333,2.6701,85,0.4594594595,2.6533
55,0.3548387097,2.6655,90,0.4736842105,2.6527
55,0.3548387097,2.6654,90,0.4736842105,2.6526
60,0.375,2.6644,95,0.4871794872,2.6524
65,0.3939393939,2.6597,95,0.4871794872,2.653
70,0.4117647059,2.6595,100,0.5,2.6546
70,0.4117647059,2.6587,100,0.5,2.663
75,0.4285714286,2.6657,105,0.512195122,2.6617
75,0.4285714286,2.667,105,0.512195122,2.6613
75,0.4285714286,2.6661,110,0.5238095238,2.6619
80,0.4444444444,2.6543,110,0.5238095238,2.6624
80,0.4444444444,2.6549,,,
85,0.4594594595,2.6535,,,
85,0.4594594595,2.6533,,,
90,0.4736842105,2.6527,,,
90,0.4736842105,2.6526,,,
95,0.4871794872,2.6524,,,
95,0.4871794872,2.653,,,
100,0.5,2.6546,,,
100,0.5,2.663,,,
105,0.512195122,2.6617,,,
105,0.512195122,2.6613,,,
110,0.5238095238,2.6619,,,
110,0.5238095238,2.6624,,,
